smiles,lipo
COCCOc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,3.1
COc1cccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)c2)c1,0.91
FC(F)c1nc2ccccc2n1c3nc(nc(n3)N4CCOCC4)N5CCOCC5,3.04
COc1cc(CCc2cc(Nc3ccnc(NCc4ccccn4)n3)n[nH]2)cc(OC)c1,3.5
CN1CCN(CC1)S(=O)(=O)c2ccc(c(C)c2)c3cnc(N)c(n3)C(=O)Nc4cccnc4,2.6
CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4CC(C)(O)C4,3.18
CC[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N,2.6
O=C(N1CCOCC1)c2ccc(cc2)C(=C3CCN(Cc4cscn4)CC3)c5cccc6cccnc56,2.12
CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccc5OCOc5c4,2.67
CC(=O)Nc1nc(ns1)c2ccccc2,2.8
CC(=O)Nc1cc2c(ccn2c3cc(NC4CC4)n5ncc(C#N)c5n3)cc1C,2.66
Clc1cccc(c1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,2.62
COc1cc(OC)c(cc1NC(=O)Cc2ccnc(F)c2)S(=O)(=O)N3C(C)CCc4ccccc34,2.49
NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(sc13)c4ccc(Cl)c(F)c4,2.76
NCC[C@@H](Oc1nc(ccc1C#N)C(F)(F)F)c2oncc2,-0.49
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(C2)C(=O)Cc3ccccc3,0.81
OC(=O)c1cc2cc(ccc2n1Cc3ccc(Cl)c(Cl)c3)[N+](=O)[O-],1.79
Brc1oc(cc1)c2nc3cc(NS(=O)(=O)c4ccccc4)ccc3[nH]2,4.38
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(C)C,3.26
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,3.13
Cc1ccc2cc(C)c3nnc(SCC(=O)N4CCN(CC4)C(=O)c5occc5)n3c2c1,2.3
COc1ccc(cc1OC)c2csc(NC(=O)c3c(C)onc3C)n2,3.16
O=C1N2CCOC2=Nc3ccccc13,0.6
C[C@H](O)C(=O)N1CCN(Cc2sc3c(nc(nc3c2C)c4cnc(N)nc4)N5CCOCC5)CC1,1.9
CN(C)CC(O)COc1ccc(Nc2nccc(n2)N(CC#N)c3cc(Cl)ccc3Cl)cc1,2.4
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,2.26
O=C1Nc2ccccc2C(=O)C=C1,1.02
CCOC(=O)c1c(C)n(Cc2occc2)c3ccc(O)cc13,3.5
CCCc1c(O)c(ccc1OCc2cccc(NC(=O)Cc3ccccc3C(=O)O)c2)C(=O)C,2.95
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl,2.12
COc1cc2c(Nc3cccc(Cl)c3Cl)c(cnc2cc1NCCN(C)C)C(=O)N,3.41
COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,3.85
C[C@H](CO)Nc1nc(SCc2csc(C)n2)nc3nc(N)sc13,1.73
COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4cc5OCCOc5cn4)[C@@H](O)C3)c2c1,0.78
CN1C(=O)CC(C)(CCc2cccc(c2)c3ccccc3)N=C1N,2.03
CNc1nc2ccccc2n1Cc3sc4N(CC(C)C)C(=O)N(C)C(=O)c4c3C(=O)N5C[C@H](O)CO5,1.77
OC(=O)c1ccc(cc1)c2nnn(Cc3ccccc3F)n2,0.3
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(C)cc(C)cc3C)C(=O)O)cc2)n1,0.52
Clc1cccc(NC(=O)c2ccccn2)c1,3.4
CC(C)OC(=O)N1CCC(CC1)Oc2ncnc3c2cnn3c4ccc(cc4F)S(=O)(=O)C,3.0
COc1ccccc1Cn2c(C)nc3ccccc23,3.47
OC(=O)c1cccc(c1)c2ccc3c(C(=O)NCC45CC6CC(CC(C6)C4)C5)c(Cl)ccc3n2,2.84
COc1ccc(COc2nc(Br)cnc2NS(=O)(=O)c3ccc(C)cc3)cc1OCCN(C)C,1.68
CNc1nc2ccccc2n1Cc3sc4N(CC(C)C)C(=O)N(C)C(=O)c4c3C(=O)N5CC[C@@H](O)C5,1.61
CCCSc1c(cnn1c2cccc(c2)C(=O)O)C(=O)NC3CCCCC3,0.7
Cn1c(SCc2c(Cl)cccc2Cl)nnc1c3ccc4nonc4c3,3.35
Fc1ccc(Oc2cc(F)c(cc2F)S(=O)(=O)Nc3ncc(Cl)s3)c(c1)c4cn[nH]c4,2.7
CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N,2.1
CCNC(=O)c1ccc(C)c(c1)N2C=Nc3ccc(cc3C2=O)N4CCN(C)CC4,1.47
Clc1cc(Cl)c2c3C(=O)NNC(=O)c3[nH]c2c1,1.02
Clc1c(ccnc1N2CCNCC2)C(=O)NCC34CC5CC(CC(C5)C3)C4,1.77
CC1(C)C(=O)Nc2ccccc12,2.3
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)N4CCN(C)CC4)n2,2.1
O=C1Oc2ccccc2C=C1c3ccccc3,3.22
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3NC(=O)C(=Cc13)C#N,3.32
COc1ccc2nc3ccccc3c(N)c2c1,1.0
CCCCc1nc2c(N)nc3ccccc3c2n1Cc4ccccc4,4.17
Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,3.1
CC(=O)Nc1ccc(O)cc1,0.25
O=S(=O)(Nc1nc(nn1Cc2ccccc2)c3ccccc3)c4ccccc4,1.25
COc1ccc(Cc2c(N)n[nH]c2N)cc1,0.2
CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cc(F)cc(Cl)c4)c3)C(=O)NC1=O,2.35
CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3cccc4ncccc34)c2C(=O)N5CC[C@@H](O)C5,1.98
CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(CO)c(Oc4cccc(Cl)c4)c3)C(=O)NC1=O,2.69
NS(=O)(=O)c1ccc(CCNc2ccc3nnc(c4ccccc4)n3n2)cc1,2.19
Cc1ccsc1CN2NC(=O)C3=C(C2=O)C(=O)c4ccc(Cl)cc4N3,1.15
CCCSc1nc(NC[C@@H]2CC[C@H](CC2)C(=O)O)ccc1C(=O)NC3CCCCC3,2.61
COc1ccccc1CN(C)Cc2cccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)c2,1.52
CN1CCN(CC1)C(=O)c2ccc(cc2)C(=C3CCN(Cc4cscn4)CC3)c5cccc6cccnc56,1.98
CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c3c1cc(cc3C(F)(F)F)C(=O)N,2.4
C[C@@H](NC(=O)C1CCNCC1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,0.4
C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OC(C)(C)C#N,2.3
C[C@H](CO)Nc1nc(SCc2ccccc2)nc3NC(=O)Nc13,2.75
CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC#C)N2C=CC=C(NC(=O)c3cc(C)on3)C2=O,1.75
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc3ccccc13)C(C)C,0.2
CC(C)(C)C(=O)Nc1ccc2c(c1)C(=O)C(=O)c3ccccc23,2.83
CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4ccoc34)n2)c1,3.7
COc1cc(Nc2c(cnc3cc(OC)c(OC)cc23)C#N)cc(OC)c1,3.5
CN1C(=O)C=C(CCc2cccc(c2)c3ccccc3)N=C1N,3.8
